target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	270.432	0	0
Solyc00g500002.1.1	816	401.164	19.1715	1.2818
Solyc00g500003.1.1	1665	1249.88	0	0
Solyc00g500004.1.1	821	406.136	0	0
Solyc00g500005.1.1	252	52.4355	0	0
Solyc00g500006.1.1	180	34.2959	0	0
Solyc00g500007.1.1	507	134.987	0	0
Solyc00g500008.1.1	498	129.754	0	0
Solyc00g500009.1.1	327	69.024	0	0
Solyc00g500010.1.1	692	280.636	0	0
Solyc00g500011.1.1	8288	7872.88	0	0
Solyc00g500012.1.1	3985	3569.88	0	0
Solyc00g500013.1.1	627	222.426	0	0
Solyc00g500014.1.1	5324	4908.88	0	0
Solyc00g500015.1.1	5552	5136.88	0	0
Solyc00g500016.1.1	369	78.7416	0	0
Solyc00g500017.1.1	372	79.4379	0	0
Solyc00g500018.1.1	1417	1001.88	0	0
Solyc00g014290.1.1	327	69.024	0	0
Solyc00g005280.1.1	411	91.1706	0	0
Solyc00g500019.1.1	372	79.4379	3.37707	1.14024
Solyc00g500020.1.1	1305	889.878	50.5	1.52211
Solyc00g500021.1.1	324	68.4551	280.381	109.857
Solyc00g500022.1.1	810	395.221	126	8.55098
Solyc00g180440.1.1	252	52.4355	61	31.2026
Solyc00g500023.1.1	1023	607.878	2222.23	98.0526
Solyc00g500024.1.1	1527	1111.88	108.5	2.61733
Solyc00g500025.1.1	195	38.258	26	18.2279
Solyc00g500026.1.1	207	41.3173	2	1.29833
Solyc00g500027.1.1	702	290.003	35	3.23706
Solyc00g500028.1.1	450	105.852	43.1958	10.9453
Solyc00g500029.1.1	273	57.6744	2.57883	1.19929
Solyc00g500030.1.1	417	93.1294	50.5	14.5442
Solyc00g500031.1.1	771	356.633	137.122	10.3127
Solyc00g500032.1.1	357	76.1714	213.5	75.1782
Solyc00g500033.1.1	507	134.987	0	0
Solyc00g500034.1.1	1059	643.878	2962	123.386
Solyc00g500035.1.1	429	97.3609	465.492	128.237
Solyc00g500036.1.1	402	88.238	940.418	285.859
Solyc00g500037.1.1	6624	6208.88	25.6986	0.111015
Solyc00g500038.1.1	216	43.5018	0	0
Solyc00g500039.1.1	501	131.451	126.759	25.8643
Solyc00g500040.1.1	567	174.763	0	0
Solyc00g500041.1.1	1092	676.878	144.952	5.7438
Solyc00g500042.1.1	3097	2681.88	3925.26	39.2569
Solyc00g500043.1.1	1848	1432.88	0	0
Solyc00g500044.1.1	501	131.451	126.759	25.8643
Solyc00g500045.1.1	216	43.5018	0	0
Solyc00g500046.1.1	6624	6208.88	25.6986	0.111015
Solyc00g500047.1.1	885	470.001	9143.18	521.776
Solyc00g277510.1.1	201	39.8911	0	0
Solyc00g500048.1.1	1356	940.878	76.2	2.17224
Solyc00g500049.1.1	294	62.4751	7.78173	3.34083
Solyc00g500050.1.1	1524	1108.88	0	0
Solyc00g500051.1.1	1101	685.878	0.00974888	0.000381236
Solyc00g500052.1.1	4974	4558.88	5.80754e-08	3.4168e-10
Solyc00g500053.1.1	675	264.932	11.8049	1.19513
Solyc00g500054.1.1	2331	1915.88	106.764	1.49467
Solyc00g500055.1.1	378	81.0943	16.6667	5.51245
Solyc00g500056.1.1	2205	1789.88	61.3333	0.919092
Solyc00g500057.1.1	1962	1546.88	52.5144	0.91056
Solyc00g500058.1.1	390	84.3756	329.484	104.738
Solyc00g500059.1.1	258	54.1786	40.3333	19.9674
Solyc00g500060.1.1	1130	714.878	88.6806	3.32723
Solyc00g500061.1.1	477	118.685	52	11.7516
Solyc00g500062.1.1	765	350.734	131	10.018
Solyc00g500063.1.1	4149	3733.88	66160.9	475.255
Solyc00g500064.1.1	1497	1081.88	15721.1	389.755
Solyc00g500065.1.1	1176	760.878	15	0.528764
Solyc00g500066.1.1	348	73.9301	24.6229	8.93315
Solyc00g500067.1.1	1305	889.878	50.5	1.52211
Solyc00g500068.1.1	324	68.4551	280.381	109.857
Solyc00g500069.1.1	189	36.5858	41.6963	30.5682
Solyc00g500070.1.1	402	88.238	0	0
Solyc00g500071.1.1	1527	1111.88	108.5	2.61733
Solyc00g500072.1.1	207	41.3173	2	1.29833
Solyc00g500073.1.1	759	344.843	0	0
Solyc00g500074.1.1	273	57.6744	2.57883	1.19929
Solyc00g500075.1.1	417	93.1294	50.5	14.5442
Solyc00g500076.1.1	771	356.633	137.122	10.3127
Solyc00g500077.1.1	357	76.1714	213.5	75.1782
Solyc00g500078.1.1	507	134.987	0	0
Solyc00g500079.1.1	429	97.3609	465.492	128.237
Solyc00g500080.1.1	402	88.238	940.418	285.859
Solyc00g500081.1.1	6624	6208.88	25.6986	0.111015
Solyc00g500082.1.1	216	43.5018	0	0
Solyc00g500083.1.1	501	131.451	126.759	25.8643
Solyc00g500084.1.1	1219	803.878	270.998	9.04195
Solyc00g500085.1.1	537	153.747	22	3.83798
Solyc00g500086.1.1	1071	655.878	3.95615	0.161784
Solyc00g500087.1.1	1626	1210.88	0	0
Solyc00g500088.1.1	3005	2589.88	2755.05	28.5322
Solyc00g500089.1.1	18682	18266.9	0	0
Solyc00g500090.1.1	834	419.094	20	1.27998
Solyc00g500091.1.1	728	314.782	0	0
Solyc00g011670.1.1	183	34.9853	0	0
Solyc00g011660.1.1	933	517.924	0	0
Solyc00g500092.1.1	1097	681.878	0	0
Solyc00g500093.1.1	603	202.469	0	0
Solyc00g500094.1.1	1359	943.878	0	0
Solyc00g500095.1.1	1516	1100.88	0	0
Solyc00g500096.1.1	1089	673.878	0	0
Solyc00g011560.1.1	1072	656.878	5.27784	0.215505
Solyc00g500097.1.1	611	208.965	0	0
Solyc00g500098.1.1	1083	667.878	0	0
Solyc00g500099.1.1	489	124.869	63.2534	13.5867
Solyc00g500100.1.1	1797	1381.88	35.781	0.694493
Solyc00g500101.1.1	408	90.1814	1.09176	0.324711
Solyc00g500102.1.1	672	262.161	0	0
Solyc00g153980.1.1	168	31.5763	4	3.3977
Solyc00g309530.1.1	159	29.6507	5	4.52295
Solyc00g164580.1.1	534	151.707	20	3.53597
Solyc00g210860.1.1	261	54.9152	2	0.97684
Solyc00g025400.2.1	721	308.014	32	2.78654
Solyc00g022070.1.1	153	28.0644	1	0.955717
Solyc00g022080.1.1	213	42.7006	1	0.628133
Solyc00g022090.1.1	354	75.3906	15	5.33654
Solyc00g022100.1.1	480	120.189	14.3218	3.1961
Solyc00g500103.1.1	861	446.021	0	0
Solyc00g072800.2.1	626	221.601	33.2162	4.02036
Solyc00g500104.1.1	792	377.398	2.69266	0.191367
Solyc00g500105.1.1	1112	696.878	0	0
Solyc00g500106.1.1	483	121.726	8.43579	1.85878
Solyc00g500107.1.1	489	124.869	14	3.00717
Solyc00g500108.1.1	183	34.9853	5	3.83328
Solyc00g281110.1.1	369	78.7416	9	3.06566
Solyc00g500109.1.1	303	64.2401	2	0.835045
Solyc00g500110.1.1	510	136.758	7	1.37287
Solyc00g500111.1.1	453	107.299	29.4129	7.35237
Solyc00g500112.1.1	369	78.7416	5.46143	1.86032
Solyc00g142160.1.1	319	67.6081	6	2.38034
Solyc00g142170.2.1	1046	630.878	23	0.977841
Solyc00g500113.1.1	414	92.1826	7	2.03674
Solyc00g500114.1.1	615	212.321	3	0.378977
Solyc00g500115.1.1	558	168.097	0	0
Solyc00g500116.1.1	489	124.869	0	0
Solyc00g500117.1.1	1755	1339.88	0	0
Solyc00g500118.1.1	408	90.1814	1.09176	0.324711
Solyc00g500119.1.1	672	262.161	0	0
Solyc00g500120.1.1	264	55.6509	0	0
Solyc00g500121.1.1	819	404.141	0	0
Solyc00g015600.1.1	156	28.7866	0	0
Solyc00g500122.1.1	802	387.294	0	0
Solyc00g007330.1.1	889	474.001	0	0
Solyc00g007340.1.1	369	78.7416	0	0
Solyc00g007350.1.1	888	473.001	1	0.0567053
Solyc00g500123.1.1	1071	655.878	3.95615	0.161784
Solyc00g500124.1.1	1629	1213.88	0	0
Solyc00g500125.1.1	3519	3103.88	0	0
Solyc00g500126.1.1	1848	1432.88	0	0
Solyc00g500127.1.1	216	43.5018	0	0
Solyc00g500128.1.1	6624	6208.88	25.6986	0.111015
Solyc00g500129.1.1	531	149.682	1307.99	234.38
Solyc00g500130.1.1	1062	646.878	173.75	7.20424
Solyc00g500131.1.1	1356	940.878	76.2	2.17224
Solyc00g500132.1.1	294	62.4751	7.78173	3.34083
Solyc00g500133.1.1	1524	1108.88	0	0
Solyc00g500134.1.1	1140	724.878	10.985	0.406464
Solyc00g500135.1.1	4974	4558.88	5.80754e-08	3.4168e-10
Solyc00g500136.1.1	2331	1915.88	106.764	1.49467
Solyc00g500137.1.1	378	81.0943	16.6667	5.51245
Solyc00g500138.1.1	2205	1789.88	61.3333	0.919092
Solyc00g500139.1.1	1701	1285.88	0	0
Solyc00g500140.1.1	402	88.238	0	0
Solyc00g500141.1.1	432	98.5704	0	0
Solyc00g500142.1.1	414	92.1826	0	0
Solyc00g500143.1.1	1577	1161.88	206.471	4.76634
Solyc00g500144.1.1	258	54.1786	40.3333	19.9674
Solyc00g500145.1.1	306	64.9033	1.03253	0.426697
Solyc00g500146.1.1	673	263.085	28.6895	2.92491
Solyc00g500147.1.1	2730	2314.88	4.32894	0.0501579
