gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,annotation
Solyc04g018080.4.1,1.75760482447584e-13,3.96919897511379e-09,-5.73174869580672,0.778130776507034,3.81508056280073,10.3031543470317,0.0564347127061438,1.28909307695483,0.852138279457738,1.28909307695483,mediator of RNA polymerase II transcription subunit 15a (AHRD V3.3 --* XP_010319382.1)
Solyc04g024420.3.1,7.41819044025095e-09,8.37624973560936e-05,-5.3815738852256,0.930879359381645,3.32773689899739,9.72974782061157,0.00436773592738257,1.92126866790102,1.10121323399502,1.92126866790102,Proteasome subunit beta (AHRD V3.3 *** A0A2G2VMP0_CAPBA)
Solyc04g078740.2.1,1.95076052786166e-08,0.000146846750002333,1.48390181002146,0.264212842218109,6.73294337260129,0.747395434371045,0.00153483592132067,0.153594999618615,0.104493291535208,0.153594999618615,Subtilisin-like protease-like protein (AHRD V3.3 *** A0A2K3MUK4_TRIPR)
Solyc04g050180.3.1,2.80234749793537e-08,0.000158213533864686,-4.52856452857079,0.81546431075777,2.72057167075084,6.98965860674085,0.00969882403250383,1.46803904734448,1.41409220180635,1.46803904734448,Unknown protein
Solyc04g018085.1.1,8.72980911684807e-08,0.000338314271487577,-4.50338380454536,0.841540850216755,2.42892499482017,6.28013280566807,0.0190606511499658,0.71999090737817,1.55469713236901,1.55469713236901,Unknown protein
Solyc10g007300.2.1,1.49089213218416e-07,0.00048098310030164,-4.47464425570435,0.851716056264524,2.35603670006448,6.08523202151868,0.0234172549058584,0.574803082351055,1.58862772398035,1.58862772398035,Unknown protein
Solyc04g018090.2.1,2.53611030302946e-06,0.00572729789733143,-4.20875097637558,0.894488340069417,2.02927271870968,5.23595954115946,0.0449713566373043,0.315622156706087,1.73304951118523,1.73304951118523,Sodium/hydrogen exchanger, putative, expressed (AHRD V3.3 *-* D8L9T1_WHEAT)
Solyc04g057840.1.1,3.55101550997177e-06,0.00729023484197204,-3.86365258214795,0.833390219372749,2.80142597558456,4.62358921573611,0.169409385013172,0.375704869307934,1.37401118775607,1.37401118775607,Pvr4 (AHRD V3.3 *-* A0A1D5AHY8_CAPAN)
Solyc06g071250.4.1,6.04960651278425e-06,0.0113848553231839,-1.99100177788466,0.440034609016534,4.81413130311175,1.46060043263123,0.0135528531201921,0.397264124001247,0.416737051618329,0.416737051618329,hypothetical protein (AHRD V3.3 *-* AT1G19010.1)
Solyc03g122330.1.1,8.60883563444782e-06,0.0138866667951954,-3.8266338621216,0.860022998366874,2.41415539329712,5.15683614610369,0.0820265807293992,1.16288878791745,1.56161688087049,1.56161688087049,Unknown protein
Solyc04g025450.3.1,8.13158733536917e-06,0.0138866667951954,-3.82703620944901,0.857754879641358,2.45891318787623,4.74771422226224,0.0944046673206505,0.681965190365132,1.54058074056504,1.54058074056504,Acetate/butyrate--CoA ligase AAE7, peroxisomal (AHRD V3.3 *-* A0A2G3CKN6_CAPCH)
Solyc06g065260.3.1,1.15077577354492e-05,0.0173253128626432,-1.01894759047083,0.232280542801695,6.43924183987864,0.384659010195069,0.00174348314838147,0.108262308780488,0.118154851438841,0.118154851438841,Receptor-like protein kinase (AHRD V3.3 *** A0A2R6RP54_ACTCH)
Solyc01g006050.2.1,1.40407506896465e-05,0.0176156818235715,-1.28530479965185,0.295933414280891,5.73446435334403,0.584335398718145,0.00490253477071685,0.138462229476024,0.189712100091385,0.189712100091385,transmembrane protein 45B-like (AHRD V3.3 *** A0A2I4DQK0_9ROSI)
Solyc04g057860.3.1,1.38055588495303e-05,0.0176156818235715,-3.99289428845027,0.91855477679608,1.83351764614714,4.59690485856623,0.0625483494420913,0.129722346462549,1.81243582383546,1.81243582383546,60S ribosomal protein L27 (AHRD V3.3 *** A0A1U8H3W7_CAPAN)
Solyc04g150132.1.1,1.58311337714939e-05,0.0178472563189409,-3.71288559299386,0.860102443418874,2.4188437259391,4.73837851410897,0.0845244235691012,0.954409933297857,1.55942271682005,1.55942271682005,Unknown protein
Solyc04g053130.4.1,1.54227133307649e-05,0.0178472563189409,-1.62475548830096,0.375877817676451,8.07308722272436,1.00800537042016,0.000430584794026584,0.313534157030888,0.101264480415419,0.313534157030888,Stress enhanced protein 2, chloroplastic (AHRD V3.3 *** A0A1U8F0B2_CAPAN)
Solyc04g055160.3.1,2.01476272387999e-05,0.020284581339306,0.983510650350009,0.230695127907213,6.71997930925196,0.372176359342438,0.0013469252855355,0.116920279248077,0.104953329826678,0.116920279248077,Alpha-ketoglutarate-dependent dioxygenase alkB-like protein 2 (AHRD V3.3 *** A0A2G2X511_CAPBA)
Solyc12g005820.3.1,2.06591405395226e-05,0.020284581339306,1.31863095804201,0.309708975665796,5.7259762303331,0.669506986322913,0.0039742537416715,0.209180523164898,0.191098099050039,0.209180523164898,transmembrane protein (AHRD V3.3 *** AT3G21710.2)
Solyc04g051240.1.1,3.33165290924759e-05,0.0305721420840741,-3.77089902982193,0.908754290827992,2.0047544244258,4.27567202904454,0.0918761741791581,0.280422178661578,1.74331129492815,1.74331129492815,Unknown protein
Solyc04g072607.1.1,3.7090210053694e-05,0.0322157005247143,-3.37643016972429,0.818549136699601,2.63343145258947,4.27955153328919,0.0321239755497305,1.23965533518574,1.45681533376508,1.45681533376508,Unknown protein
Solyc07g064910.3.1,4.74930939143044e-05,0.0380360776352206,0.955398333379016,0.234878201571074,6.78135601570445,0.360822322898954,0.00122407894526581,0.121370964550872,0.10287186480779,0.121370964550872,EH domain-containing protein.1
