target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	591.873	0	0
Solyc00g500002.1.1	816	726.873	0	0
Solyc00g500003.1.1	1665	1575.87	1	0.0418639
Solyc00g500004.1.1	821	731.873	0	0
Solyc00g500005.1.1	252	162.873	0	0
Solyc00g500006.1.1	180	91	0	0
Solyc00g500007.1.1	507	417.873	0	0
Solyc00g500008.1.1	498	408.873	0	0
Solyc00g500009.1.1	327	237.873	0	0
Solyc00g500010.1.1	692	602.873	0	0
Solyc00g500011.1.1	8288	8198.87	0	0
Solyc00g500012.1.1	3985	3895.87	0	0
Solyc00g500013.1.1	627	537.873	0	0
Solyc00g500014.1.1	5324	5234.87	0	0
Solyc00g500015.1.1	5552	5462.87	0	0
Solyc00g500016.1.1	369	279.873	0	0
Solyc00g500017.1.1	372	282.873	0	0
Solyc00g500018.1.1	1417	1327.87	0	0
Solyc00g014290.1.1	327	237.873	0	0
Solyc00g005280.1.1	411	321.873	0	0
Solyc00g500019.1.1	372	282.873	0	0
Solyc00g500020.1.1	1305	1215.87	29.1592	1.58215
Solyc00g500021.1.1	324	234.873	66.0664	18.557
Solyc00g500022.1.1	810	720.873	94	8.60261
Solyc00g180440.1.1	252	162.873	11	4.45558
Solyc00g500023.1.1	1023	933.873	1019.72	72.0365
Solyc00g500024.1.1	1527	1437.87	109.5	5.02406
Solyc00g500025.1.1	195	105.898	15.4863	9.64761
Solyc00g500026.1.1	207	117.879	0	0
Solyc00g500027.1.1	702	612.873	77.3725	8.3287
Solyc00g500028.1.1	450	360.873	19.464	3.55827
Solyc00g500029.1.1	273	183.873	0	0
Solyc00g500030.1.1	417	327.873	7	1.40849
Solyc00g500031.1.1	771	681.873	15.233	1.47382
Solyc00g500032.1.1	357	267.873	16	3.9405
Solyc00g500033.1.1	507	417.873	0	0
Solyc00g500034.1.1	1059	969.873	412.518	28.0601
Solyc00g500035.1.1	429	339.873	832.031	161.504
Solyc00g500036.1.1	402	312.873	304.531	64.2132
Solyc00g500037.1.1	6624	6534.87	15.8846	0.160362
