sample	genotype	replicate	2-carene 	a-phellandrene 	a-terpinene 	B-phellandrene 	E-B-ocimene 	terpinolene 	a-bergamotene 	a-santalene 	B-caryophyllene 	B-bergamotene 	a-humulene 	7epiZ 	Germacrene_D 	3_7_11_Selinadiene 	Germacrene_B 	9HZ 	9H10epoZ 	a-bergamotoic_acid 	a-santanaloic_acid 	B-bergamotoic_acid 	summed_terpenes
LA CV-1	LA1777_CV	1	0.14	0.19	0.06	0.85	0	0	0	0	1.77	0	0.84	0	0.01	0.02	0.02	0	0	0	0	0	3.98
LA CV-2	LA1777_CV	2	0.03	0.03	0	0.15	0	0	0	0	1.12	0	0.54	0	0	0.01	0	0	0	0	0	0	1.94
LA CV-3	LA1777_CV	3	0.07	0.09	0.04	0.47	0	0	0	0	1.04	0	0.5	0	0	0	0	0	0	0	0	0	2.25
PI-CV-1	Elite	1	0.05	0.06	0.03	0.39	0	0	0	0	0.12	0	0.05	0.02	0	0.02	0	0	0	0	0	0	0.74
PI-CV-2	Elite	2	0.35	0.23	0.16	0.33	0	0	0	0	0.73	0	0.43	0.1	0	0	0	0	0	0	0	0	2.34
PI-CV-3	Elite	3	0.14	0.11	0.05	0.68	0	0	0	0	0.47	0	0.26	0.03	0	0	0	0	0.01	0	0	0	1.74
LA1777xCV F1-1	LA1777_F1	1	1.25	0.7	0.44	0.95	0	0.01	6.24	25.72	1.27	4.46	6.92	0.94	1.85	2.26	2.9	0	0	0	0	0	56.47
LA1777xCV F1-2	LA1777_F1	2	0.57	0.97	0.81	8.44	0	0.05	6.71	24.01	0.6	2.48	1.24	2.9	4.41	2.62	4.37	0	0	0	0.04	0	60.51
LA1777xCV F1-3	LA1777_F1	3	0.37	0.6	0.77	7.5	0	0.05	7.96	26.55	2.29	1.28	22.66	2.67	0.93	1.47	5.02	0	0	0	0.02	0	80.5
PI127826xCV F1-1	F1	1	0.15	0.51	0.92	6.47	0	0.07	0	0	0.6	0	3.31	1.31	1.61	1.76	1.51	0.13	1.28	0	0	0	19.95
PI127826xCV F1-2	F1	2	0.75	0.44	0.19	0.5	0	0.01	0	0	0.84	0	5.88	1.09	0.4	0.61	0.52	0.36	0.94	0	0	0	12.8
PI127826xCV F1-3	F1	3	0.14	0.22	0.02	0.67	0	0	0	0	0.2	0	1	0.93	0.1	0.26	0.16	0.04	0.21	0	0	0	4
PI127826 10x -1	PI127826	1	0.01	0.29	0	0.51	0.06	0.05	0	0	19.91	0	50.29	183.73	2.83	5.7	8.19	21.81	14.21	0	0	0	309.44
PI127826 10x -2	PI127826	2	0	0.03	0	0.13	0.16	0.01	0	0	11.84	0	56.33	10.76	1.82	3.35	1.27	7.54	9.84	0	0	0	104.11
PI127826 10x -3	PI127826	3	0	0.79	0.24	1.3	0.18	0.24	0	0	11.33	0	58.67	14.6	3.29	6.57	3.45	5.38	6.66	0	0	0	114.85
LA1777 10x -1	LA1777	1	0.03	0.04	0.06	0	0.2	0	8.93	18.62	0.36	15.88	14.18	0	32.95	24.48	50.78	0	0	1.9	0.44	0	178.89
LA1777 10x -2	LA1777	2	0	0	0	0.04	0.14	0	1.39	3.18	0	2.38	2.38	0	10.12	9.92	8.49	0	0	0	0	0	42.19
LA1777 10x -3	LA1777	3	0.01	0	0	0.2	0.13	0	12.05	20.84	0	6.96	21.09	0	37.76	30.44	27.03	0	0	0	0.2	0.07	158.92
PI127826xLA1777 10x -1	F1_hab	1	0	0.01	0	0.38	0.17	0	85.72	263.09	31.93	14.37	195.3	386.23	24.28	18.52	9.04	16.87	17.16	0	0.35	0.04	1063.49
PI127826xLA1777 10x -2	F1_hab	2	0	0.05	0	0.26	0.22	0	34.53	135.95	8.72	10.37	209.49	345.6	9.82	18.35	14.69	17.01	12.81	0	0	0	817.86
PI127826xLA1777 10x -3	F1_hab	3	0	0	0	0	0.22	0.01	46.34	14.31	30	13.7	23.03	10.32	7.5	19.47	9.36	14.86	3.89	0.07	0	0.02	193.08
