coeff	stderr	zval	pval	genotype	text
2.07944154167984	0.353553390593273	5.8815488608113	4.06444922989146e-09	Intercept	***
0.485507815781696	0.449358517136458	1.08044645259113	0.279943419643173	127	ns
0.40546510810816	0.456435464587638	0.888329543968442	0.37436351213501	14	ns
0.405465108108159	0.456435464587638	0.888329543968439	0.374363512135011	142	ns
-26.3820266346741	114839.702825112	-0.000229729144064845	0.999816702664396	148	ns
-0.980829253011734	0.677003200386329	-1.44878082179232	0.147398801239313	151	ns
0.62860865942237	0.437797517885456	1.43584336078131	0.151046918276071	161	ns
-2.07944154167984	1.06066017177982	-1.96051628693711	0.0499354762285423	183	***
-2.07944154167984	1.06066017177982	-1.9605162869371	0.0499354762285431	190	***
0.117783035656379	0.485912657903775	0.242395487626304	0.808473730495045	20	ns
-2.07944154167984	1.06066017177982	-1.9605162869371	0.049935476228543	200	***
-26.3820266346738	114839.702825096	-0.000229729144064874	0.999816702664396	201	ns
-26.3820266346737	114839.70282509	-0.000229729144064885	0.999816702664396	211	ns
-2.07944154167984	1.06066017177982	-1.9605162869371	0.0499354762285437	225	***
-2.07944154167983	1.06066017177982	-1.9605162869371	0.0499354762285439	232	***
0.223143551314205	0.474341649025256	0.470427911554364	0.638049326627161	25	ns
-26.3820266346739	114839.702825102	-0.000229729144064863	0.999816702664396	255	ns
-0.980829253011732	0.677003200386329	-1.44878082179231	0.147398801239314	258	ns
-1.38629436111989	0.790569415042094	-1.75353907543474	0.079509518318479	279	ns
0.8649974374866	0.421463615211762	2.05236562841133	0.0401341423034551	28	***
-2.07944154167984	1.06066017177982	-1.96051628693711	0.0499354762285426	280	***
-2.07944154167984	1.06066017177982	-1.9605162869371	0.0499354762285432	286	***
-0.693147180559952	0.612372435695794	-1.13190460601379	0.25767454202913	290	ns
-0.287682072451785	0.540061724867321	-0.532683690040173	0.594252558258529	294	ns
0.753771802376375	0.428746462856272	1.75808284773899	0.0787334137822351	296	ns
-0.980829253011732	0.677003200386329	-1.44878082179231	0.147398801239314	314	ns
0.965080896043583	0.415474484919408	2.32284034537232	0.0201877307964335	327	***
-0.470003629245739	0.570087712549568	-0.824440904266767	0.40968908105195	332	ns
-1.38629436111989	0.790569415042093	-1.75353907543474	0.0795095183184788	341	ns
-26.3820266346738	114839.702825095	-0.000229729144064876	0.999816702664396	346	ns
-1.3862943611199	0.790569415042094	-1.75353907543474	0.0795095183184785	364	ns
-26.382026634674	114839.702825104	-0.000229729144064859	0.999816702664396	365	ns
-0.980829253011733	0.677003200386329	-1.44878082179231	0.147398801239313	366	ns
-2.07944154167984	1.06066017177982	-1.9605162869371	0.0499354762285431	373	***
0.628608659422369	0.437797517885456	1.43584336078131	0.151046918276072	376	ns
0.753771802376375	0.428746462856272	1.75808284773899	0.0787334137822352	387	ns
-2.07944154167984	1.06066017177982	-1.9605162869371	0.0499354762285435	411	***
-0.133531392624527	0.517549169506765	-0.258007162395382	0.796401379533533	432	ns
-0.287682072451786	0.540061724867321	-0.532683690040173	0.594252558258529	434	ns
-26.3820266346739	114839.702825099	-0.000229729144064868	0.999816702664396	441	ns
-26.3820266346739	114839.702825101	-0.000229729144064866	0.999816702664396	445	ns
-1.3862943611199	0.790569415042095	-1.75353907543474	0.0795095183184788	449	ns
0.223143551314205	0.474341649025257	0.470427911554365	0.63804932662716	73	ns
-26.3820266346739	114839.7028251	-0.000229729144064867	0.999816702664396	Elite	ns
-26.3820266346739	114839.702825099	-0.000229729144064869	0.999816702664396	F1	ns
0.753771802376376	0.428746462856272	1.758082847739	0.078733413782235	PI127826	ns
